Responses ,Genotype (G) ,Ewind ,Eyear ,G×Ewind ,G×Eyear ,Ewind×Eyear ,G×Ewind×Eyear 
Foliar arthropods , , , , , , , 
Richnessa ,28.01(9) ,10.33(1) ,13.55(1) ,3.74(9) ,9.85(9) ,0.92(1) ,7.04(9) 
Abundancea ,25.25(9) ,5.48(1) ,6.72(1) ,7.33(9) ,8.22(9) ,1.65(1) ,11.85(9) 
Rarefied richnessb ,"1.96(9,71.1) ","22.82(1,7.8) ","1.13(1,82.7) ","0.66(9,80.9) ",- ,"0.67(1,81.9) ",- 
Community composition2012 ,"0.96(9,51) ","1.26(1,7) ", ,"0.91(9,42) ", , , 
Community composition2013 ,"1.17(9,68) ","5.70(1,9) ", ,"0.69(6,62) ", , , 
Root-associated Mycorrhiza , , , , , , , 
Richness2013b ,"1.28(9,95.0) ","1.01(1,8.8) ",- ,"1.23(9,95.8) ",- ,- ,- 
Abundance2013b ,"0.80(9,95.5) ","0.36(1,8.7) ",- ,"1.03(9,96.4) ",- ,- ,- 
Rarefied richness2013b ,"0.87(9,95.1) ","0.88(1,8.8) ",- ,"0.93(9,95.9) ",- ,- ,- 
Community composition2013 ,"1.01(9,117) ","1.18(1,9) ",- ,"0.87(9,108) ",- ,- ,- 
Root-associated Bacteria , , , , ,- ,- ,- 
Richness2013b ,"1.35(9,100.8) ","4.53(1,7.9) ",- ,"0.87(9,101.5) ",- ,- ,- 
Abundance2013b ,"1.39(9,102.3) ","2.00(1,8.0) ",- ,"0.64(9,103.2) ",- ,- ,- 
Rarefied richness2013b ,"1.48(9,99.9) ","6.03(1,7.8) ",- ,"1.35(9,100.5) ",- ,- ,- 
Community composition2013 ,"0.93(9,120) ","1.38(1,9) ",- ,"0.87(9,111) ",- ,- ,- 
Soil characteristics , , , , , , , 
 Total Nb ,- ,"5.08(1,9) ",- ,- ,- ,- ,- 
Soil moistureb ,- ,"3.52(1,9) ",- ,- ,- ,- ,- 
Percent organic matterb ,- ,"0.68(1,8.4) ",- ,- ,- ,- ,- 
Nutrient PC1b ,- ,"1.31(1,9) ",- ,- ,- ,- ,- 
Plant traits , , , , , , , 
Heightb ,"9.13(9,145.3) ","29.10(1,9.0) ","210.09(1,156.3) ","0.71(9,147.9) ","0.80(9,157.8) ","16.69(1,158.4) ","1.84(9,160.9) "
Shoot counta ,47.42(9) ,9.91(1) ,5.68(1) ,10.70(9) ,18.26(9) ,12.53(1) ,5.76(9) 
Shoot lengthb ,"4.97(9,144.2) ","10.44(1,9.0) ","75.36(1,158.5) ","0.84(9,146.9) ","1.61(9,160.1) ","0.05(1,160.7) ","0.70(9,163.2) "
Leaf water contentb ,"4.90(9,129.0) ","0.97(1,8.7) ","2.93(1,139.7) ","0.47(9,132.0) ","2.80(9,141.6) ","2.03(1,141.5) ","1.56(9,144.1) "
Leaf trichome density2012b ,67.31(9) ,0.02(1) ,- ,10.45(9) ,- ,- ,- 
SLA2013b ,"4.21(9,122.5) ","0.34(1,8.9) ",- ,"1.19(9,123.4) ",- ,- ,- 
Leaf C:N2013b ,"4.88(9,70.48) ","1.54(1,7.8) ",- ,"1.31(9,71.6) ",- ,- ,- 
Root C:N2013b ,"0.85(9,107.0) ","0.31(1,8.7) ",- ,"0.33(9,107.5) ",- ,- ,- 
