term,SD_mean,SD_SD,lower_50,upper_50,lower_95,upper_95,VarComp_mean,Experiment,Year,Trait
sd_Block__Intercept,0.5924656572206937,0.43594491528304924,0.23465407445263076,0.8590745795162438,0.023465778776341737,1.579004637534631,0.03653881715711685,Wind,2013,Bacterial Composition
sd_Block:Species__Intercept,0.8846109803730755,0.6429470989731932,0.3700861439480919,1.2716967810028057,0.035828925267992265,2.4060496949465238,0.08145781818003082,Wind,2013,Bacterial Composition
sd_Genotype__Intercept,0.6337909946183171,0.4511760132066984,0.27542504287957775,0.892073671553821,0.03446967788052731,1.6867947220727137,0.041813858965809934,Wind,2013,Bacterial Composition
sd_Genotype:Species__Intercept,0.9677987836348936,0.7348579745606737,0.37973560959601327,1.4014230495353062,0.03656792362795169,2.7527527775731824,0.09749857442627537,Wind,2013,Bacterial Composition
sd_Genotype:Wind.Exposure__Intercept,0.5511584682271187,0.42780001454599625,0.21329062057957598,0.7725711031875863,0.02254614898563192,1.5936375922970947,0.03162139977514137,Wind,2013,Bacterial Composition
sd_Genotype:Wind.Exposure:Species__Intercept,1.0591749373799857,0.7273562939293646,0.4612475892806314,1.5383639651383425,0.026064451989627084,2.703086541413132,0.11677866694678996,Wind,2013,Bacterial Composition
sd_Plot_code__Intercept,0.5432155769995337,0.40237080369737216,0.21606184944830398,0.7898331948883327,0.01539552504874599,1.5128945513277066,0.03071655825309845,Wind,2013,Bacterial Composition
sd_Species__Intercept,0.9532546162990891,0.6936042269964318,0.3971545185772124,1.3511664935225647,0.057089825113775416,2.540097724461926,0.09459015911928675,Wind,2013,Bacterial Composition
sd_Wind.Exposure__Intercept,0.6227258070621358,0.5118548639285503,0.2302187200057383,0.8966327293893994,0.020903481237259963,1.9564097889633283,0.04036657016441667,Wind,2013,Bacterial Composition
sd_Wind.Exposure:Species__Intercept,0.9097857208515815,0.6850324928657912,0.3383029492808186,1.3767817397318742,0.027301118989136314,2.4672917195812873,0.08616013174875484,Wind,2013,Bacterial Composition
